OCCUR_DATE,Incident Count,,Occur_Date,Incident Count,,New Years,,Memorial Day,,Thanksgiving,,Black Friday,,Christmas ,,,,,,,
07-30-2009,1,,,,,,,,,,,,,,,,,,,,
07-30-2009,1,,,,,,,,,,,,,,,,,,,,
07-30-2009,1,,,,,,,,,,,,,,,,,,,,
07-30-2009,1,,,,,,,,,,,,,,,,,,,,
07-30-2009,1,,,,,,,,,,,,,,,,,,,,
07-30-2008,1,,,,,,,,,,,,,,,,,,,,
07-30-2008,1,,,,,,,,,,,,,,,,,,,,
07-30-2008,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2007,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-30-2006,1,,,,,,,,,,,,,,,,,,,,
07-03-2017,1,,,,,,,,,,,,,,,,,,,,
07-03-2017,1,,,,,,,,,,,,,,,,,,,,
07-03-2017,1,,,,,,,,,,,,,,,,,,,,
07-03-2017,1,,,,,,,,,,,,,,,,,,,,
07-03-2016,1,,,,,,,,,,,,,,,,,,,,
07-03-2016,1,,,,,,,,,,,,,,,,,,,,
07-03-2016,1,,,,,,,,,,,,,,,,,,,,
07-03-2016,1,,,,,,,,,,,,,,,,,,,,
07-03-2016,1,,,,,,,,,,,,,,,,,,,,
07-03-2016,1,,,,,,,,,,,,,,,,,,,,
07-03-2016,1,,,,,,,,,,,,,,,,,,,,
07-03-2016,1,,,,,,,,,,,,,,,,,,,,
07-03-2016,1,,,,,,,,,,,,,,,,,,,,
07-03-2015,1,,,,,,,,,,,,,,,,,,,,
07-03-2015,1,,,,,,,,,,,,,,,,,,,,
07-03-2015,1,,,,,,,,,,,,,,,,,,,,
07-03-2015,1,,,,,,,,,,,,,,,,,,,,
07-03-2014,1,,,,,,,,,,,,,,,,,,,,
07-03-2014,1,,,,,,,,,,,,,,,,,,,,
07-03-2014,1,,,,,,,,,,,,,,,,,,,,
07-03-2012,1,,,,,,,,,,,,,,,,,,,,
07-03-2012,1,,,,,,,,,,,,,,,,,,,,
07-03-2012,1,,,,,,,,,,,,,,,,,,,,
07-03-2012,1,,,,,,,,,,,,,,,,,,,,
07-03-2012,1,,,,,,,,,,,,,,,,,,,,
07-03-2012,1,,,,,,,,,,,,,,,,,,,,
07-03-2011,1,,,,,,,,,,,,,,,,,,,,
07-03-2011,1,,,,,,,,,,,,,,,,,,,,
07-03-2011,1,,,,,,,,,,,,,,,,,,,,
